Number,Chapter,School,District,Founding Date
1,Alpha,Oklahoma State University,Southwest,11/27/1919
2,Beta,Montana State University,Midwest,12/17/1920
3,Gamma,University of Washington,Western,12/16/1920
4,Delta,University of Oklahoma,Southwest,5/21/1921
5,Epsilon,Mississippi State University,Southeast,4/20/1923
6,Zeta,Pennsylvania State University,Northeast,4/25/1923
7,Eta,The Ohio State University,North Central,4/26/1923
8,Theta,Oregon State University,Western,5/12/1923
9,Iota,Georgia Institute of Technology,Southeast,4/21/1924
10,Kappa,Colorado State University,Midwest,5/31/1924
11,Lambda,University of Arkansas,Southwest,6/5/1924
12,Mu,University of North Dakota,Midwest,5/31/1925
13,Nu,University of Michigan,North Central,6/12/1925
14,Xi,Colorado School Of Mines,Midwest,11/21/1925
15,Omicron,West Virginia University,Northeast,6/17/1926
16,Pi,Auburn University,Southeast,5/18/1926
17,Rho,Tulane University,Southwest,10/18/1926
18,Sigma,Ohio Northern University,North Central,5/23/1927
19,Tau,University of Montana,Midwest,6/2/1928
20,Upsilon,University of Cincinnati,North Central,6/11/1928
21,Phi,Stanford University,Western,3/20/1929
22,Chi,"University of California, Berkeley",Western,4/20/1929
23,Psi,"University of California, Los Angeles",Western,5/4/1929
24,Omega,University of Arizona,Western,4/4/1929
25,Alpha Alpha,University of Nevada,Western,5/14/1929
26,Alpha Beta,Butler University,North Central,5/31/1929
27,Alpha Gamma,Duke University,Southeast,6/2/1929
28,Alpha Delta,Ohio University,North Central,5/17/1931
29,Alpha Epsilon,Temple University,Northeast,5/21/1931
30,Alpha Zeta,Indiana University,North Central,5/27/1931
31,Alpha Eta,University of Florida,Southeast,5/25/1931
32,Alpha Theta,University of Northern Colorado,Midwest,6/6/1931
33,Alpha Iota,University of Colorado,Midwest,6/7/1931
34,Alpha Kappa,The George Washington University,Northeast,12/4/1933
35,Alpha Lambda,University of Denver,Midwest,6/8/1934
36,Alpha Mu,North Dakota State University,Midwest,5/5/1935
37,Alpha Nu,University of Wyoming,Midwest,5/12/1935
38,Alpha Xi,Stetson University,Southeast,12/14/1935
39,Alpha Omicron,Texas Tech University,Southwest,3/12/1938
40,Alpha Pi,University of Tulsa,Southwest,3/18/1938
41,Alpha Rho,Northeastern State University,Southwest,5/2/1938
42,Alpha Sigma,University of Tampa,Southeast,5/11/1941
43,Alpha Tau,University of Texas at Austin,Southwest,5/18/1941
44,Alpha Upsilon,University of Southern California,Western,5/11/1942
45,Alpha Phi,Rutgers University,Northeast,4/16/1942
46,Alpha Chi,University of Texas at El Paso,Southwest,4/5/1947
47,Alpha Psi,West Texas A & M University,Southwest,10/25/1947
48,Alpha Omega,University of Pittsburgh,Northeast,2/14/1948
49,Beta Alpha,Baylor University,Southwest,2/14/1948
50,Beta Beta,University of Mississippi,Southeast,4/26/1948
51,Beta Gamma,Louisiana State University,Southwest,5/16/1948
52,Beta Delta,Sam Houston State University,Southwest,5/15/1948
53,Beta Epsilon,University of South Dakota,Midwest,11/7/1948
54,Beta Zeta,Long Island University,Northeast,11/20/1949
55,Beta Eta,University of Tennessee,Southeast,3/20/1949
56,Beta Theta,University of Utah,Western,4/30/1949
57,Beta Iota,Nebraska Wesleyan University,Midwest,4/23/1949
58,Beta Kappa,Bowling Green State University,North Central,4/17/1949
59,Beta Lambda,Eastern New Mexico University,Southwest,5/8/1949
60,Beta Mu,Emory University,Southeast,5/30/1949
61,Beta Nu,VanderCook College of Music,North Central,12/19/1949
62,Beta Xi,Sul Ross State University,Southwest,12/4/1949
63,Beta Omicron,Arizona State University,Western,11/13/1949
64,Beta Pi,Drury College,Midwest,12/17/1949
65,Beta Rho,University of Toledo,North Central,1/15/1950
66,Beta Sigma,University of Houston,Southwest,1/21/1950
67,Beta Tau,The Wichita State University,Midwest,1/19/1950
68,Beta Upsilon,Abilene Christian University,Southwest,3/25/1950
69,Beta Phi,Southern Methodist University,Southwest,3/25/1950
70,Beta Chi,University of Virginia,Northeast,9/23/1950
71,Beta Psi,Kent State University,North Central,2/25/1951
72,Beta Omega,Case-Western Reserve University,North Central,5/20/1951
73,Gamma Alpha,Midwestern State University,Southwest,5/5/1951
74,Gamma Beta,"Brigham Young University, Idaho (Ricks)",Western,5/3/1952
75,Gamma Gamma,Oklahoma Panhandle State University,Southwest,5/22/1952
76,Gamma Delta,Wayne State College,Midwest,8/27/2006
77,Gamma Epsilon,Hobart College,Northeast,5/30/1953
78,Gamma Zeta,Lamar University,Southwest,3/18/1954
79,Gamma Eta,New Mexico State University,Southwest,5/16/1954
80,Gamma Theta,East Central University,Southwest,5/9/1954
81,Gamma Iota,University of New Mexico,Southwest,5/23/1954
82,Gamma Kappa,Northern Arizona University,Western,5/9/1954
83,Gamma Lambda,Doane College,Midwest,5/16/1954
84,Gamma Mu,University of Pennsylvania,Northeast,6/5/1954
85,Gamma Nu,Florida State University,Southeast,5/14/1955
86,Gamma Xi,University of Maryland,Northeast,5/14/1955
87,Gamma Omicron,Otterbein University,North Central,1/31/1956
88,Gamma Pi,Purdue University,North Central,3/18/1956
89,Gamma Rho,New Mexico Highlands University,Southwest,6/1/1956
90,Gamma Sigma,Texas Christian University,Southwest,2/9/1957
91,Gamma Tau,Lycoming College,Northeast,4/6/1957
92,Gamma Upsilon,Ohio Wesleyan University,North Central,5/19/1957
93,Gamma Phi,Stephen F. Austin State University,Southwest,5/1/1957
94,Gamma Chi,University of Southern Mississippi,Southeast,5/17/1957
95,Gamma Psi,College of William and Mary,Northeast,5/4/1957
96,Gamma Omega,Texas Southern University,Southwest,5/22/1957
97,Delta Alpha,Langston University,Southwest,5/19/1957
98,Delta Beta,Baldwin-Wallace College,North Central,11/17/1957
99,Delta Gamma,Missouri University of Science and Technology,Midwest,3/9/1958
100,Delta Delta,Arkansas Tech University,Southwest,3/14/1958
101,Delta Epsilon,Samford University,Southeast,5/6/1958
102,Delta Zeta,Cornell University,Northeast,3/18/1959
103,Delta Eta,Pittsburg State University,Midwest,4/12/1959
104,Delta Theta,Jacksonville University,Southeast,5/2/1959
105,Delta Iota,Florida A & M University,Southeast,5/26/1960
106,Delta Kappa,South Dakota State University,Midwest,5/24/1961
107,Delta Lambda,Eastern Washington State University,Western,8/25/1961
108,Delta Mu,Humboldt State University,Western,1/6/1962
109,Delta Nu,Morris Harvey College,Northeast,1/7/1962
110,Delta Xi,Emporia State University,Midwest,4/6/1962
111,Delta Omicron,University of Connecticut,Northeast,5/19/1962
112,Delta Pi,Mississippi Valley State University,Southeast,5/5/1962
113,Delta Rho,Arkansas State University,Southwest,3/7/1964
114,Delta Sigma,University of Texas at Arlington,Southwest,3/15/1964
115,Delta Tau,Adams State College,Midwest,5/16/1964
116,Delta Upsilon,Eastern Michigan University,North Central,5/16/1965
117,Delta Phi,Xavier University,North Central,10/9/1965
118,Delta Chi,Southern Arkansas University,Southwest,2/12/1966
119,Delta Psi,Prairie View A & M University,Southwest,4/17/1966
120,Delta Omega,Ferris State University,North Central,5/22/1966
121,Epsilon Alpha,"University of Arkansas, Little Rock",Southwest,2/17/1967
122,Epsilon Beta,University of Central Arkansas,Southwest,2/17/1967
123,Epsilon Gamma,Alabama State University,Southeast,4/8/1967
124,Epsilon Delta,Texas A & M University at Kingsville,Southwest,5/13/1967
125,Epsilon Epsilon,Southwestern Oklahoma State University,Southwest,5/26/1967
126,Epsilon Zeta,Oklahoma Baptist University,Southwest,5/23/1967
127,Epsilon Eta,Western State College,Midwest,5/21/1967
128,Epsilon Theta,University of Louisiana at Monroe,Southwest,4/20/1968
129,Epsilon Iota,Mansfield University,Northeast,10/6/1968
130,Epsilon Kappa,Angelo State University,Southwest,12/6/1968
131,Epsilon Lambda,Western Carolina University,Southeast,2/23/1969
132,Epsilon Mu,Wayland Baptist University,Southwest,5/16/1969
133,Epsilon Nu,University of Massachusetts,Northeast,5/16/1969
134,Epsilon Xi,Miami University,North Central,3/13/1970
135,Epsilon Omicron,Wagner College,Northeast,3/22/1970
136,Epsilon Pi,Kansas State University,Midwest,4/4/1970
137,Epsilon Rho,Grambling State University,Southwest,4/7/1970
138,Epsilon Sigma,"California State University, Sacramento",Western,4/11/1970
139,Epsilon Tau,Oral Roberts University,Southwest,4/25/1970
140,Epsilon Upsilon,University of Maine,Northeast,5/9/1970
141,Epsilon Phi,Pennsylvania Western University Clarion,Northeast,5/16/1970
142,Epsilon Chi,University of Arkansas at Pine Bluff,Southwest,11/15/1970
143,Epsilon Psi,Missouri State University,Midwest,11/21/1970
144,Epsilon Omega,University of Nebraska at Lincoln,Midwest,2/5/1971
145,Zeta Alpha,Bloomsburg University of Pennsylvania,Northeast,2/14/1971
146,Zeta Beta,Howard Payne University,Southwest,2/27/1971
147,Zeta Gamma,Texas Lutheran University,Southwest,3/21/1971
148,Zeta Delta,Southwest Baptist University,Midwest,5/3/1971
149,Zeta Epsilon,Michigan State University,North Central,6/6/1971
150,Zeta Zeta,University of Arkansas at Monticello,Southwest,12/4/1971
151,Zeta Eta,South Carolina State University,Southeast,12/14/1971
152,Zeta Theta,West Virginia Institute of Technology,Northeast,4/16/1972
